Time_s,N_Numerical,N_Analytical,Error_Absolute,Error_Relative_Percent
0.0000,1.000000e+15,1.000000e+15,0.000000e+00,0.000000
3303.5040,9.930685e+14,9.930925e+14,2.396724e+10,0.002413
6607.0080,9.861851e+14,9.862327e+14,4.760280e+10,0.004827
9910.5120,9.793494e+14,9.794203e+14,7.091012e+10,0.007240
13214.0160,9.725611e+14,9.726549e+14,9.389262e+10,0.009653
16517.5200,9.658198e+14,9.659363e+14,1.165537e+11,0.012066
19821.0240,9.591252e+14,9.592641e+14,1.388966e+11,0.014479
23124.5280,9.524771e+14,9.526380e+14,1.609248e+11,0.016893
26428.0320,9.458750e+14,9.460576e+14,1.826414e+11,0.019306
29731.5360,9.393187e+14,9.395227e+14,2.040498e+11,0.021718
33035.0400,9.328078e+14,9.330330e+14,2.251532e+11,0.024131
36338.5440,9.263421e+14,9.265881e+14,2.459548e+11,0.026544
39642.0480,9.199212e+14,9.201877e+14,2.664578e+11,0.028957
42945.5520,9.135448e+14,9.138315e+14,2.866652e+11,0.031370
46249.0560,9.072126e+14,9.075192e+14,3.065802e+11,0.033782
49552.5600,9.009243e+14,9.012505e+14,3.262059e+11,0.036195
52856.0640,8.946795e+14,8.950251e+14,3.455453e+11,0.038607
56159.5680,8.884781e+14,8.888427e+14,3.646014e+11,0.041020
59463.0720,8.823196e+14,8.827030e+14,3.833773e+11,0.043432
62766.5760,8.762038e+14,8.766057e+14,4.018759e+11,0.045845
66070.0800,8.701305e+14,8.705506e+14,4.201001e+11,0.048257
69373.5840,8.640992e+14,8.645372e+14,4.380529e+11,0.050669
72677.0880,8.581097e+14,8.585654e+14,4.557371e+11,0.053081
75980.5920,8.521617e+14,8.526349e+14,4.731556e+11,0.055493
79284.0960,8.462550e+14,8.467453e+14,4.903113e+11,0.057905
82587.6000,8.403892e+14,8.408964e+14,5.072069e+11,0.060317
85891.1040,8.345641e+14,8.350879e+14,5.238451e+11,0.062729
89194.6080,8.287793e+14,8.293195e+14,5.402289e+11,0.065141
92498.1120,8.230347e+14,8.235910e+14,5.563608e+11,0.067553
95801.6160,8.173298e+14,8.179021e+14,5.722436e+11,0.069965
99105.1200,8.116645e+14,8.122524e+14,5.878800e+11,0.072377
102408.6240,8.060385e+14,8.066418e+14,6.032725e+11,0.074788
105712.1280,8.004515e+14,8.010699e+14,6.184240e+11,0.077200
109015.6320,7.949031e+14,7.955365e+14,6.333368e+11,0.079611
112319.1360,7.893933e+14,7.900413e+14,6.480137e+11,0.082023
115622.6400,7.839216e+14,7.845841e+14,6.624571e+11,0.084434
118926.1440,7.784879e+14,7.791646e+14,6.766696e+11,0.086846
