Time_s,N_Numerical,N_Analytical,Error_Absolute,Error_Relative_Percent
0.0000,1.000000e+15,1.000000e+15,0.000000e+00,0.000000
16517.5200,9.653426e+14,9.659363e+14,5.936880e+11,0.061462
33035.0400,9.318864e+14,9.330330e+14,1.146577e+12,0.122887
49552.5600,8.995897e+14,9.012505e+14,1.660770e+12,0.184274
66070.0800,8.684123e+14,8.705506e+14,2.138274e+12,0.245623
82587.6000,8.383154e+14,8.408964e+14,2.581002e+12,0.306935
99105.1200,8.092616e+14,8.122524e+14,2.990782e+12,0.368208
115622.6400,7.812147e+14,7.845841e+14,3.369353e+12,0.429445
132140.1600,7.541399e+14,7.578583e+14,3.718379e+12,0.490643
148657.6800,7.280034e+14,7.320428e+14,4.039441e+12,0.551804
165175.2000,7.027727e+14,7.071068e+14,4.334050e+12,0.612927
181692.7200,6.784165e+14,6.830201e+14,4.603644e+12,0.674013
198210.2400,6.549044e+14,6.597540e+14,4.849594e+12,0.735061
214727.7600,6.322071e+14,6.372803e+14,5.073208e+12,0.796072
231245.2800,6.102965e+14,6.155722e+14,5.275730e+12,0.857045
247762.8000,5.891452e+14,5.946036e+14,5.458345e+12,0.917981
264280.3200,5.687270e+14,5.743492e+14,5.622182e+12,0.978879
280797.8400,5.490164e+14,5.547847e+14,5.768316e+12,1.039740
297315.3600,5.299890e+14,5.358867e+14,5.897771e+12,1.100563
313832.8800,5.116209e+14,5.176325e+14,6.011519e+12,1.161349
330350.4000,4.938895e+14,5.000000e+14,6.110488e+12,1.222098
346867.9200,4.767726e+14,4.829682e+14,6.195558e+12,1.282809
363385.4400,4.602489e+14,4.665165e+14,6.267569e+12,1.343483
379902.9600,4.442979e+14,4.506252e+14,6.327317e+12,1.404120
396420.4800,4.288997e+14,4.352753e+14,6.375559e+12,1.464719
412938.0000,4.140352e+14,4.204482e+14,6.413017e+12,1.525281
429455.5200,3.996858e+14,4.061262e+14,6.440374e+12,1.585806
445973.0400,3.858338e+14,3.922920e+14,6.458280e+12,1.646294
462490.5600,3.724618e+14,3.789291e+14,6.467352e+12,1.706744
479008.0800,3.595532e+14,3.660214e+14,6.468176e+12,1.767158
495525.6000,3.470921e+14,3.535534e+14,6.461309e+12,1.827534
512043.1200,3.350628e+14,3.415101e+14,6.447277e+12,1.887873
528560.6400,3.234504e+14,3.298770e+14,6.426582e+12,1.948175
545078.1600,3.122405e+14,3.186402e+14,6.399698e+12,2.008440
561595.6800,3.014190e+14,3.077861e+14,6.367074e+12,2.068668
578113.2000,2.909726e+14,2.973018e+14,6.329137e+12,2.128859
594630.7200,2.808883e+14,2.871746e+14,6.286290e+12,2.189013
611148.2400,2.711535e+14,2.773924e+14,6.238916e+12,2.249130
627665.7600,2.617560e+14,2.679434e+14,6.187376e+12,2.309210
644183.2800,2.526842e+14,2.588162e+14,6.132013e+12,2.369254
660700.8000,2.439269e+14,2.500000e+14,6.073150e+12,2.429260
677218.3200,2.354730e+14,2.414841e+14,6.011092e+12,2.489229
693735.8400,2.273121e+14,2.332582e+14,5.946130e+12,2.549162
710253.3600,2.194341e+14,2.253126e+14,5.878535e+12,2.609057
726770.8800,2.118291e+14,2.176376e+14,5.808566e+12,2.668916
743288.4000,2.044876e+14,2.102241e+14,5.736465e+12,2.728738
759805.9200,1.974006e+14,2.030631e+14,5.662462e+12,2.788524
776323.4400,1.905593e+14,1.961460e+14,5.586772e+12,2.848272
792840.9600,1.839550e+14,1.894646e+14,5.509599e+12,2.907984
809358.4800,1.775796e+14,1.830107e+14,5.431134e+12,2.967659
825876.0000,1.714251e+14,1.767767e+14,5.351556e+12,3.027297
842393.5200,1.654840e+14,1.707550e+14,5.271036e+12,3.086899
858911.0400,1.597488e+14,1.649385e+14,5.189731e+12,3.146464
875428.5600,1.542123e+14,1.593201e+14,5.107790e+12,3.205993
891946.0800,1.488677e+14,1.538931e+14,5.025354e+12,3.265485
908463.6000,1.437083e+14,1.486509e+14,4.942553e+12,3.324940
924981.1200,1.387278e+14,1.435873e+14,4.859510e+12,3.384359
941498.6400,1.339198e+14,1.386962e+14,4.776338e+12,3.443741
958016.1600,1.292785e+14,1.339717e+14,4.693145e+12,3.503087
974533.6800,1.247981e+14,1.294081e+14,4.610030e+12,3.562397
991051.2000,1.204729e+14,1.250000e+14,4.527087e+12,3.621669
1007568.7200,1.162976e+14,1.207420e+14,4.444401e+12,3.680906
1024086.2400,1.122671e+14,1.166291e+14,4.362053e+12,3.740106
1040603.7600,1.083762e+14,1.126563e+14,4.280117e+12,3.799270
1057121.2800,1.046202e+14,1.088188e+14,4.198662e+12,3.858397
1073638.8000,1.009943e+14,1.051121e+14,4.117752e+12,3.917488
1090156.3200,9.749410e+13,1.015315e+14,4.037445e+12,3.976543
1106673.8400,9.411522e+13,9.807301e+13,3.957796e+12,4.035561
1123191.3600,9.085343e+13,9.473229e+13,3.878854e+12,4.094543
1139708.8800,8.770469e+13,9.150536e+13,3.800665e+12,4.153489
1156226.4000,8.466508e+13,8.838835e+13,3.723269e+12,4.212398
1172743.9200,8.173081e+13,8.537752e+13,3.646706e+12,4.271272
1189261.4400,7.889824e+13,8.246924e+13,3.571008e+12,4.330109
1205778.9600,7.616383e+13,7.966004e+13,3.496207e+12,4.388910
1222296.4800,7.352419e+13,7.694653e+13,3.422331e+12,4.447675
1238814.0000,7.097604e+13,7.432544e+13,3.349405e+12,4.506404
1255331.5200,6.851620e+13,7.179365e+13,3.277449e+12,4.565096
1271849.0400,6.614161e+13,6.934809e+13,3.206484e+12,4.623753
1288366.5600,6.384931e+13,6.698584e+13,3.136527e+12,4.682374
1304884.0800,6.163647e+13,6.470406e+13,3.067592e+12,4.740958
