Time_s,N_Numerical,N_Analytical,Error_Absolute,Error_Relative_Percent
0.0000,1.000000e+15,1.000000e+15,0.000000e+00,0.000000
33035.0400,9.306853e+14,9.330330e+14,2.347710e+12,0.251621
66070.0800,8.661751e+14,8.705506e+14,4.375469e+12,0.502609
99105.1200,8.061364e+14,8.122524e+14,6.115985e+12,0.752966
132140.1600,7.502593e+14,7.578583e+14,7.598990e+12,1.002693
165175.2000,6.982553e+14,7.071068e+14,8.851499e+12,1.251791
198210.2400,6.498559e+14,6.597540e+14,9.898041e+12,1.500263
231245.2800,6.048113e+14,6.155722e+14,1.076087e+13,1.748109
264280.3200,5.628890e+14,5.743492e+14,1.146017e+13,1.995331
297315.3600,5.238725e+14,5.358867e+14,1.201422e+13,2.241932
330350.4000,4.875604e+14,5.000000e+14,1.243956e+13,2.487912
363385.4400,4.537653e+14,4.665165e+14,1.275117e+13,2.733273
396420.4800,4.223127e+14,4.352753e+14,1.296257e+13,2.978017
429455.5200,3.930402e+14,4.061262e+14,1.308598e+13,3.222145
462490.5600,3.657968e+14,3.789291e+14,1.313239e+13,3.465659
495525.6000,3.404417e+14,3.535534e+14,1.311174e+13,3.708560
528560.6400,3.168440e+14,3.298770e+14,1.303294e+13,3.950850
561595.6800,2.948821e+14,3.077861e+14,1.290402e+13,4.192530
594630.7200,2.744424e+14,2.871746e+14,1.273218e+13,4.433602
627665.7600,2.554195e+14,2.679434e+14,1.252385e+13,4.674067
660700.8000,2.377152e+14,2.500000e+14,1.228482e+13,4.913927
693735.8400,2.212380e+14,2.332582e+14,1.202023e+13,5.153184
726770.8800,2.059030e+14,2.176376e+14,1.173467e+13,5.391839
759805.9200,1.916309e+14,2.030631e+14,1.143224e+13,5.629893
792840.9600,1.783480e+14,1.894646e+14,1.111655e+13,5.867348
825876.0000,1.659859e+14,1.767767e+14,1.079081e+13,6.104206
858911.0400,1.544806e+14,1.649385e+14,1.045787e+13,6.340468
891946.0800,1.437728e+14,1.538931e+14,1.012022e+13,6.576135
924981.1200,1.338073e+14,1.435873e+14,9.780032e+12,6.811210
958016.1600,1.245324e+14,1.339717e+14,9.439233e+12,7.045693
991051.2000,1.159005e+14,1.250000e+14,9.099482e+12,7.279585
1024086.2400,1.078669e+14,1.166291e+14,8.762217e+12,7.512890
1057121.2800,1.003901e+14,1.088188e+14,8.428678e+12,7.745607
1090156.3200,9.343163e+13,1.015315e+14,8.099922e+12,7.977739
1123191.3600,8.695544e+13,9.473229e+13,7.776844e+12,8.209286
1156226.4000,8.092815e+13,8.838835e+13,7.460199e+12,8.440251
1189261.4400,7.531864e+13,8.246924e+13,7.150607e+12,8.670635
1222296.4800,7.009795e+13,7.694653e+13,6.848579e+12,8.900439
1255331.5200,6.523913e+13,7.179365e+13,6.554519e+12,9.129665
1288366.5600,6.071710e+13,6.698584e+13,6.268745e+12,9.358314
