Time_s,N_Numerical,N_Analytical,Error_Absolute,Error_Relative_Percent
0.0000,1.000000e+15,1.000000e+15,0.000000e+00,0.000000
1651.7520,9.965343e+14,9.965403e+14,5.998731e+09,0.000602
3303.5040,9.930805e+14,9.930925e+14,1.195592e+10,0.001204
4955.2560,9.896388e+14,9.896567e+14,1.787178e+10,0.001806
6607.0080,9.862090e+14,9.862327e+14,2.374652e+10,0.002408
8258.7600,9.827910e+14,9.828206e+14,2.958037e+10,0.003010
9910.5120,9.793849e+14,9.794203e+14,3.537352e+10,0.003612
11562.2640,9.759906e+14,9.760318e+14,4.112621e+10,0.004214
13214.0160,9.726081e+14,9.726549e+14,4.683863e+10,0.004816
14865.7680,9.692373e+14,9.692898e+14,5.251099e+10,0.005417
16517.5200,9.658782e+14,9.659363e+14,5.814351e+10,0.006019
18169.2720,9.625307e+14,9.625944e+14,6.373639e+10,0.006621
19821.0240,9.591948e+14,9.592641e+14,6.928984e+10,0.007223
21472.7760,9.558705e+14,9.559453e+14,7.480407e+10,0.007825
23124.5280,9.525577e+14,9.526380e+14,8.027928e+10,0.008427
24776.2800,9.492564e+14,9.493421e+14,8.571567e+10,0.009029
26428.0320,9.459665e+14,9.460576e+14,9.111345e+10,0.009631
28079.7840,9.426881e+14,9.427845e+14,9.647282e+10,0.010233
29731.5360,9.394210e+14,9.395227e+14,1.017940e+11,0.010835
31383.2880,9.361652e+14,9.362722e+14,1.070771e+11,0.011437
33035.0400,9.329207e+14,9.330330e+14,1.123225e+11,0.012038
34686.7920,9.296874e+14,9.298049e+14,1.175302e+11,0.012640
36338.5440,9.264654e+14,9.265881e+14,1.227005e+11,0.013242
37990.2960,9.232545e+14,9.233823e+14,1.278336e+11,0.013844
39642.0480,9.200547e+14,9.201877e+14,1.329297e+11,0.014446
41293.8000,9.168661e+14,9.170040e+14,1.379890e+11,0.015048
42945.5520,9.136884e+14,9.138315e+14,1.430116e+11,0.015650
44597.3040,9.105218e+14,9.106698e+14,1.479978e+11,0.016252
46249.0560,9.073662e+14,9.075192e+14,1.529477e+11,0.016853
47900.8080,9.042215e+14,9.043794e+14,1.578616e+11,0.017455
